OBJECTID,ASSET_TYPE,ASSET_SUB_TYPE,ASSET_ID,ASSET_NAME,LOCATION,ROAD_NAME,SCHOOL_NEAR_CROSSING_NAME,HIGH_INTENSITY_LIGHTING,FLASHING_LIGHTS,SIGNAL_ID,SURFACE_AREA,SURFACE_AREA_UNIT,SUBURB,ADDRESS,OWNERSHIP,MAINTAINED_BY,GlobalID,Shape__Area,Shape__Length
1,PEDESTRIAN CROSSING,ZEBRA CROSSING,PDCR0053,"ZEBRA CROSSING AINSWORTH STREET,HINDMARSH DRIVE","AINSWORTH STREET,HINDMARSH DRIVE",AINSWORTH STREET,,,,TSSI,17,Square Metre,PHILLIP,"AINSWORTH STREET,PHILLIP,ACT,AUSTRALIA",ROADS ACT,RM - LINEMARKING,dd2739cb-bd93-41d1-94eb-de9885c4f649,17.156005859375,16.6841997231878
2,PEDESTRIAN CROSSING,ZEBRA CROSSING,PDCR0054,"ZEBRA CROSSING AINSWORTH STREET,HINDMARSH DRIVE","AINSWORTH STREET,HINDMARSH DRIVE",AINSWORTH STREET,,,,TSSI,19,Square Metre,PHILLIP,"AINSWORTH STREET,PHILLIP,ACT,AUSTRALIA",ROADS ACT,RM - LINEMARKING,6d0ead9f-5b21-4079-abae-822a9309a4b5,18.50439453125,17.3851750496684
3,PEDESTRIAN CROSSING,ZEBRA CROSSING,PDCR0055,"ZEBRA CROSSING AINSWORTH STREET,HINDMARSH DRIVE","AINSWORTH STREET,HINDMARSH DRIVE",AINSWORTH STREET,,,,TSSI,22,Square Metre,PHILLIP,"AINSWORTH STREET,PHILLIP,ACT,AUSTRALIA",ROADS ACT,RM - LINEMARKING,f980b22a-4085-4de3-a78b-961e6f0b0380,22.483642578125,19.5270437498487
4,PEDESTRIAN CROSSING,ZEBRA CROSSING,PDCR0056,"ZEBRA CROSSING HINDMARSH DRIVE,YAMBA DRIVE","HINDMARSH DRIVE,YAMBA DRIVE",YAMBA DRIVE,,,,TSSI,18,Square Metre,PHILLIP,"HINDMARSH DRIVE,PHILLIP,ACT,AUSTRALIA",ROADS ACT,RM - LINEMARKING,35fd9822-f9f0-4cfd-a81f-b02969702fce,18.18505859375,17.1327949564321
5,PEDESTRIAN CROSSING,ZEBRA CROSSING,PDCR0057,"ZEBRA CROSSING HINDMARSH DRIVE,YAMBA DRIVE","HINDMARSH DRIVE,YAMBA DRIVE",YAMBA DRIVE,,,,TSSI,17,Square Metre,GARRAN,"HINDMARSH DRIVE,GARRAN,ACT,AUSTRALIA",ROADS ACT,RM - LINEMARKING,13a8971b-df6f-4075-ad9c-d2acd97ec786,17.429931640625,16.7786226962183
6,PEDESTRIAN CROSSING,ZEBRA CROSSING,PDCR0058,"ZEBRA CROSSING HINDMARSH DRIVE,YAMBA DRIVE","HINDMARSH DRIVE,YAMBA DRIVE",YAMBA DRIVE,,,,TSSI,20,Square Metre,O'MALLEY,"HINDMARSH DRIVE,O'MALLEY,ACT,AUSTRALIA",ROADS ACT,RM - LINEMARKING,58820ff5-a80b-4ed4-a0e3-10201b681c91,20.469970703125,18.3176522372721
7,PEDESTRIAN CROSSING,ZEBRA CROSSING,PDCR0059,"ZEBRA CROSSING HINDMARSH DRIVE,YAMBA DRIVE","HINDMARSH DRIVE,YAMBA DRIVE",YAMBA DRIVE,,,,TSSI,22,Square Metre,PHILLIP,"HINDMARSH DRIVE,PHILLIP,ACT,AUSTRALIA",ROADS ACT,RM - LINEMARKING,9bea0848-f1bb-42a9-9e0f-c27beedaa8c2,21.910400390625,19.0411889667681
8,PEDESTRIAN CROSSING,ZEBRA CROSSING,PDCR0060,"ZEBRA CROSSING YAMBA DRIVE,BATESON ROAD","YAMBA DRIVE,BATESON ROAD",BATESON ROAD,,,,TSSI,30,Square Metre,GARRAN,"BATESON ROAD,GARRAN,ACT,AUSTRALIA",ROADS ACT,RM - LINEMARKING,13a7e766-59d5-410c-92e1-64a05d5cf796,30.41943359375,22.7514197886429
9,PEDESTRIAN CROSSING,ZEBRA CROSSING,PDCR0061,"ZEBRA CROSSING YAMBA DRIVE,BATESON ROAD","YAMBA DRIVE,BATESON ROAD",BATESON ROAD,,,,TSSI,27,Square Metre,GARRAN,"PALMER STREET,GARRAN,ACT,AUSTRALIA",ROADS ACT,RM - LINEMARKING,43b3d9ed-af1d-4248-aa03-05c00df14bb5,27.02587890625,21.1416287576546
10,PEDESTRIAN CROSSING,ZEBRA CROSSING,PDCR0062,"ZEBRA CROSSING CORINNA STREET,CALLAM STREET","CORINNA STREET,CALLAM STREET",CORINNA STREET,,,,TSSI,24,Square Metre,PHILLIP,"CORINNA STREET,PHILLIP,ACT,AUSTRALIA",ROADS ACT,RM - LINEMARKING,7d9b4f8e-5b5a-44e3-b85e-6a623f69dba7,24.050048828125,19.7673674097359
